geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-03-27,61.46
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-03-28,49.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-03-29,43.66
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-03-30,52.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-03-31,55.84
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-01,56.46
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-02,56.79
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-03,66.01
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-04,53.16
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-05,44.39
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-06,57.22
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-07,61.68
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-08,61.46
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-09,64.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-10,74.59
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-11,61.68
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-12,45.01
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-13,63.54
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-14,67.4
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-15,70.12
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-16,73.25
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-17,82.28
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-18,69.75
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-19,62.01
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-20,75.91
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-21,71.77
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-22,70.18
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-23,79.18
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-24,84.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-25,74.41
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-26,66.65
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-27,75.01
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-28,79.54
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-29,79.86
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-04-30,83.13
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-01,95.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-02,78.06
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-03,69.49
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-04,85.45
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-05,86.17
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-06,87.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-07,92.58
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-08,107.83
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-09,94.61
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-10,73.77
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-11,NA
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-12,NA
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-13,89.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-14,95.89
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-15,120.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-16,100.71
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-17,86.94
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-18,100.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-19,102.85
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-20,105.51
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-21,109.27
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-22,132.29
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-23,117.46
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-24,98.36
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-25,96.7
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-26,114.15
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-27,121.59
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-28,124.39
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-29,135.61
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-30,107.17
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-05-31,104.44
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-01,115.44
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-02,118.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-03,120.62
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-04,123.88
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-05,136.68
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-06,119.23
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-07,102.18
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-08,119.18
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-09,124.2
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-10,131.24
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-11,134.7
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-12,147.09
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-13,133.48
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-14,116.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-15,131.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-16,132.58
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-17,141.32
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-18,146.2
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-19,164.43
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-20,145.95
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-21,116.41
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-22,142.11
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-23,159.26
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-24,147.89
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-25,154.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-26,174.63
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-27,148.83
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-28,128.17
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-29,145.6
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-06-30,145.09
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-01,152.09
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-02,162.39
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-03,155.47
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-04,108.53
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-05,121.42
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-06,141.46
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-07,150.75
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-08,152.45
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-09,153.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-10,176.28
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-11,155.33
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-12,132
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-13,147.46
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-14,150.21
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-15,154.22
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-16,157.63
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-17,171.11
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-18,154.86
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-19,134.28
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-20,150.97
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-21,154.44
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-22,155.15
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-23,157.27
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-24,171.45
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-25,155.27
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-26,138.32
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-27,147.92
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-28,152.25
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-29,150.28
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-30,157.41
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-07-31,178.26
city,Eugene-Springfield,driving,NA,Oregon,United States,2020-08-01,158.47
